Year,Month,MonthName,TotalTransactions,TotalQuantitySold,TotalRevenue,AvgTransactionValue,UniqueCustomers,UniqueProducts
2023,1,January,76,189,15251.46,200.68,64,43
2023,2,February,75,170,12327.11,164.36,64,37
2023,3,March,75,162,12024.33,160.32,65,44
2023,4,April,78,186,13927.01,178.55,71,39
2023,5,May,103,261,21398.6,207.75,76,42
2023,6,June,85,198,14669.55,172.58,69,43
2023,7,July,70,164,13271.51,189.59,59,38
2023,8,August,105,262,19081.95,181.73,82,50
2023,9,September,71,183,13132.54,184.97,65,41
2023,10,October,97,269,20457.32,210.9,77,43
2023,11,November,72,173,13979.91,194.17,64,39
2023,12,December,93,243,19684.36,211.66,76,42
